customer_id,ip,pages_visited,campain
041b77595d,108.124.56.200,2.0,False
10863d9892,85.58.51.243,6.0,False
c92646d6b3,150.158.195.184,5.0,True
9303a03ba8,66.243.143.64,6.0,False
0d73b6d6ef,95.122.27.107,2.0,False
3d3035380b,141.205.37.70,4.0,False
8487ac17ec,41.122.221.52,3.0,False
f8bc6bce7d,58.113.92.61,9.0,False
9d56bc42db,192.159.50.102,4.0,False
21ec3b27e4,184.238.10.174,5.0,False
aaebc7a8d9,177.61.146.4,5.0,False
38dd974ae3,98.244.87.12,8.0,False
d55d76b67e,177.128.168.234,3.0,False
ff73e0f101,67.247.193.74,5.0,False
1cae4db728,62.4.46.230,6.0,False
672ec79ef4,84.93.115.160,1.0,True
7f53e4acb9,74.145.196.70,8.0,False
9a8ba01761,93.221.128.214,5.0,False
164e479745,147.53.138.230,9.0,False
453d4dfc9c,199.27.147.73,7.0,False
0e71f3b906,193.195.41.11,13.0,False
4bcb742912,52.177.63.106,5.0,False
8fbb8f10fe,121.139.149.60,6.0,False
238e326a7b,125.95.79.206,3.0,False
ad72c41980,47.96.229.100,1.0,False
251ad74e43,128.163.85.38,6.0,False
2efa0a9c0b,58.66.60.89,10.0,True
5a6854c136,128.224.5.13,11.0,False
1c7e4dcd49,173.183.121.12,6.0,True
cc0c918fac,51.49.107.185,7.0,False
f180de4ead,87.103.196.157,7.0,True
86133f98c1,90.61.96.138,7.0,False
845b601310,200.246.99.111,7.0,False
cd66059cc7,138.235.170.77,3.0,False
1cbff9ad85,79.247.207.150,6.0,False
82fe479d2e,73.69.72.147,6.0,False
50c1704ad3,55.217.234.202,8.0,False
5fcf6cb162,135.151.10.249,3.0,False
51759b303b,61.199.38.89,6.0,True
73f17e3984,174.167.33.242,8.0,False
f79703991f,112.154.129.98,3.0,False
310516bc9e,107.29.223.230,4.0,True
7304fed476,103.8.221.4,6.0,True
e68a0e1bed,192.86.99.3,11.0,False
d9414bc03f,43.90.145.215,6.0,True
f043f64a8c,83.145.112.14,7.0,False
33087d6f27,115.175.179.219,5.0,False
0a7a6e8892,182.110.1.73,8.0,True
acbd2c0b9c,150.185.118.48,7.0,True
f3d2f8f071,47.99.190.96,5.0,False
92fe061a97,166.199.2.120,6.0,False
f463ad7bd8,128.219.88.203,7.0,False
423c5442ca,128.216.70.101,9.0,False
09c75e22d1,73.167.79.108,11.0,False
57ae239470,143.138.83.105,3.0,True
05470ebc5c,128.30.216.15,8.0,False
6791c84742,152.188.160.252,7.0,False
ce26c214a7,158.9.187.215,5.0,True
d3d4cd12bf,72.62.249.65,8.0,False
c371656637,82.230.4.49,6.0,True
850825ca85,67.250.114.198,5.0,False
0b9b006a3b,85.196.77.73,6.0,False
e79154ab10,145.193.208.6,5.0,False
14ac1175e4,183.22.142.191,4.0,False
ff1ae0230d,101.101.174.112,6.0,True
9614449216,185.18.74.212,5.0,False
ca97b3dfc3,192.87.4.206,13.0,False
42e5141899,123.7.242.91,6.0,False
4e17c29e78,162.19.65.27,6.0,False
b992c981cf,163.252.239.151,6.0,True
f4ca91f1d0,85.56.234.73,9.0,False
501571162c,99.18.129.97,5.0,False
1581008638,109.27.23.148,4.0,True
9cf562336e,183.154.6.201,5.0,True
2382ff1ffe,145.127.112.174,8.0,False
b8b4a191f4,88.188.89.94,4.0,False
f60db41e84,192.130.228.106,6.0,True
be833677df,133.215.45.29,4.0,False
852a20b7a1,118.10.226.143,8.0,False
501e8040ab,114.48.181.194,8.0,True
b49ca67f69,117.26.73.181,9.0,False
d95fde4d17,47.150.64.167,6.0,False
e4e726f87c,187.69.231.19,4.0,False
6b2731f28a,145.243.50.224,8.0,False
90a72a9f32,141.145.208.37,3.0,False
8f1947aed5,42.61.244.110,5.0,True
a22e521f37,145.44.49.149,10.0,False
e1f828f972,100.151.192.163,9.0,True
67810e3ff3,44.249.59.166,5.0,False
674f74d78d,145.36.88.76,3.0,False
27f9d2d175,50.23.189.165,7.0,False
8f0a24a82a,161.182.159.142,3.0,False
8abb4663bf,171.200.240.76,6.0,False
5aa6598fb6,74.120.178.67,4.0,False
78c25eabb0,44.171.252.221,7.0,False
a6a02571fb,71.179.218.159,6.0,False
2149b93b6d,121.127.207.32,8.0,True
7e10b6a87a,42.155.136.53,6.0,True
a31e9df0a2,124.110.109.13,6.0,False
2095f7d13e,190.103.19.212,7.0,False
d6932d2f52,199.80.115.160,7.0,False
021db3a599,138.35.148.105,8.0,False
ee8c835937,100.55.254.167,6.0,True
873862ebb1,43.69.20.230,8.0,False
828f102062,89.4.245.4,6.0,False
757981839b,46.20.102.63,5.0,False
2f0b043894,94.193.193.150,4.0,True
6dd44f997d,169.220.82.76,5.0,True
b314918685,74.79.52.42,6.0,False
d7c4899e9f,145.76.243.123,6.0,True
7e45e7556d,107.64.182.53,6.0,False
1244e56264,174.204.64.136,6.0,False
2ee527c044,130.88.35.164,14.0,True
f1eba978f8,173.176.63.15,2.0,False
5944d69eaa,54.223.241.156,6.0,False
9bc27a60a7,144.162.233.221,3.0,False
9bc27a60a7,113.52.204.69,7.0,True
9bc27a60a7,80.186.230.94,9.0,False
